dom_content_loaded_ms,endpoint,kind,load_event_ms,ok,started_at,status_code,ttfb_ms
73.0,http://127.0.0.1:8000/database/menu,browser,73.5,1,2025-08-27T13:50:36,200,6.2
259.1,http://127.0.0.1:8000/database/tests,browser,259.2,1,2025-08-27T13:50:36,200,5.1
7.4,http://127.0.0.1:8000/database/dut,browser,7.5,1,2025-08-27T13:50:37,200,3.6
13.4,http://127.0.0.1:8000/database/Test_DUTdatabase/Harness,browser,13.9,1,2025-08-27T13:50:37,404,9.8
7.7,http://127.0.0.1:8000/database/Test_Harness,browser,8.0,1,2025-08-27T13:50:37,200,3.5
7.4,http://127.0.0.1:8000/database/product,browser,7.6,1,2025-08-27T13:50:37,200,3.7
7.5,http://127.0.0.1:8000/database/program,browser,7.5,1,2025-08-27T13:50:37,200,3.3
8.1,http://127.0.0.1:8000/database/TestMap,browser,8.2,1,2025-08-27T13:50:37,200,4.3
8.1,http://127.0.0.1:8000/database/Chamber,browser,8.3,1,2025-08-27T13:50:37,200,3.9
7.1,http://127.0.0.1:8000/database/Test_Chamber,browser,7.3,1,2025-08-27T13:50:37,200,3.3
8.1,http://127.0.0.1:8000/database/Dar,browser,8.1,1,2025-08-27T13:50:37,200,3.6
8.4,http://127.0.0.1:8000/database/dar_channel,browser,8.6,1,2025-08-27T13:50:37,200,4.2
7.8,http://127.0.0.1:8000/database/Program_DAR,browser,8.0,1,2025-08-27T13:50:37,200,3.6
7.5,http://127.0.0.1:8000/database/cage,browser,7.7,1,2025-08-27T13:50:37,200,3.4
5.2,http://127.0.0.1:8000/database/Program_Cage,browser,5.4,1,2025-08-27T13:50:37,200,2.0
7.5,http://127.0.0.1:8000/database/Laptop,browser,7.7,1,2025-08-27T13:50:37,200,4.1
7.2,http://127.0.0.1:8000/database/Fluid,browser,7.4,1,2025-08-27T13:50:37,200,3.1
6.9,http://127.0.0.1:8000/database/Program_Fluid,browser,7.1,1,2025-08-27T13:50:37,200,3.2
6.6,http://127.0.0.1:8000/database/Lab,browser,6.9,1,2025-08-27T13:50:37,200,3.1
7.7,http://127.0.0.1:8000/database/Technician,browser,7.9,1,2025-08-27T13:50:37,200,3.9
6.8,http://127.0.0.1:8000/database/Technician_Skill,browser,7.1,1,2025-08-27T13:50:37,200,3.2
5.3,http://127.0.0.1:8000/database/Skill,browser,5.5,1,2025-08-27T13:50:37,200,1.6
5.4,http://127.0.0.1:8000/database/TestType,browser,5.4,1,2025-08-27T13:50:37,200,1.7
6.0,http://127.0.0.1:8000/database/hourscalculations,browser,6.3,1,2025-08-27T13:50:37,200,2.5
215.6,http://127.0.0.1:8000/database/excel/,browser,215.6,1,2025-08-27T13:50:37,200,3.0
